StudentID,SubjectID,Mark
(1,30,46),
(1,49,36),
(1,18,52),
(1,33,40),
(1,20,49),
(1,45,57),
(1,13,51),
(1,34,46),
(2,21,56),
(2,48,20),
(2,24,64),
(2,46,100),
(2,38,97),
(2,35,86),
(2,5,41),
(2,16,99),
(3,15,53),
(3,25,33),
(3,28,71),
(3,2,92),
(3,6,29),
(3,32,21),
(3,24,87),
(3,31,37),
(4,27,36),
(4,28,55),
(4,18,20),
(4,24,56),
(4,25,68),
(4,20,45),
(4,41,24),
(4,38,47),
(5,14,64),
(5,42,71),
(5,11,97),
(5,19,25),
(5,49,68),
(5,36,97),
(5,18,76),
(5,20,40),
(6,28,91),
(6,2,73),
(6,24,51),
(6,4,63),
(6,37,43),
(6,31,99),
(6,36,63),
(6,46,50),
(7,30,62),
(7,21,76),
(7,32,86),
(7,28,84),
(7,47,50),
(7,40,54),
(7,42,24),
(7,27,46)
